id,Tweet,likes,retweet,hashtags,Sentiment
1085359358983077889,what the samsung??? wtf is going on https://t.co/tg3XX8sJ9q,2926,113, ,neutral
1085082745682960384,Samsung unveils 219-inch TV called The Wall and it's seriously impressive https://t.co/oNxSQ3aMs4,672,101, ,neutral
1085421025637019648,"A big OTA update on the Samsung Galaxy Note 9 looks like the official release with One UI interface.

Guys I did no https://t.co/RfCPd8etJt",1593,74, ,positive
1085378608485543944,"Just a random idea!

#Samsung should Tie-up with #Tseries &amp; launch a Samsung T-Series Lineup. 
Win-Win for both! https://t.co/EuX8K8G08T",861,82, SamsungTseries,positive
1085226087276298240,"Lenovo Z5 Pro GT: Snapdragon 855 for $400

It looks like Lenovo will beat Samsung to the Snapdragon 855 (Updated). https://t.co/6tspQpKeSn",279,50, SamsungTseries,neutral
1085564257431887872,"#GalaxyMSeries is making headlines and how! 
Heres what Bharat Nagpal has to say about the latest from Samsung.
Wa https://t.co/ARasi3k9qK",324,46, SamsungTseriesGalaxyMSeries,neutral
1085572321103003648,"Samsung talks folding phone design, says innovation isnt dead.
Read more: https://t.co/XG8j0TkZXQ

#technology https://t.co/oLe8adkFFp",96,18, SamsungTseriesGalaxyMSeriestechnology,neutral
1085713189671624704,Leaked Benchmarks Suggest iPhone XS Outperforms Samsungs Upcoming Galaxy S10+ https://t.co/ceTB0EzT7g by @julipuli https://t.co/cUsnyxxQOD,103,37, SamsungTseriesGalaxyMSeriestechnology,neutral
1085200405204656128,"Samsung will launch Galaxy M, its first notched phone, in India on January 28.
Read more: https://t.co/SvFDCXj7Ao https://t.co/NxWikhvcpa",218,34, SamsungTseriesGalaxyMSeriestechnology,neutral
1085636755687161862,Samsung Publishing surged by the 30% daily limit to a hit a record high on Wednesday. The company owns a 25 percent https://t.co/QoWb6NNURb,24,17, SamsungTseriesGalaxyMSeriestechnology,neutral
1085120490879045632,"We love what @RajivMakhni has to say about the new Samsung #GalaxyMSeries.  
Want to be the first one to get your h https://t.co/vbN9s4Qaeg",390,47, SamsungTseriesGalaxyMSeriestechnologyGalaxyMSeries,positive
1085632783718920193,Will 2019 be the year Samsung gets the emoji display for the U and V regional indicators the correct way around? St https://t.co/edcnUBQ4Zk,58,19, SamsungTseriesGalaxyMSeriestechnologyGalaxyMSeries,positive
1083477330855686145,Samsung unveils massive 219-inch TV called The Wall https://t.co/31GtajodPL #10TV https://t.co/IhDhTOdEf1,21778,7195, SamsungTseriesGalaxyMSeriestechnologyGalaxyMSeries10TV,neutral
1085453041162014720,Samsung New M Series Launching in India What To Expect https://t.co/WU9K5Z1EPA @YouTubeIndia,654,39, SamsungTseriesGalaxyMSeriestechnologyGalaxyMSeries10TV,neutral
1083536113392852992,"UPDATE: 30 advertisers have dropped Tucker Carlson:

Pacific Life
Nerd Wallet
Bowflex
Indeed
Smile Direct
Minted
Ta https://t.co/9cChp1qVIo",21921,5454, SamsungTseriesGalaxyMSeriestechnologyGalaxyMSeries10TV,neutral
